x,y,label
43520,3584,1
43264,3840,1
43520,3840,1
43776,3840,1
43264,4096,1
43520,4096,1
43264,4352,1
43520,4352,1
43264,4608,1
43520,4608,1
43264,4864,1
43520,4864,1
43520,5120,1
44544,5632,1
42752,6656,1
42496,6912,1
42752,6912,1
40960,7168,1
41216,7168,1
41472,7168,1
40704,7424,1
40960,7424,1
41216,7424,1
41472,7424,1
40960,7680,1
39936,8192,1
40192,8192,1
40448,8192,1
40704,8192,1
40960,8192,1
41472,8192,1
41728,8192,1
41984,8192,1
42240,8192,1
42496,8192,1
42752,8192,1
39936,8448,1
40192,8448,1
40448,8448,1
40704,8448,1
40960,8448,1
41216,8448,1
41472,8448,1
41728,8448,1
41984,8448,1
42240,8448,1
42496,8448,1
42752,8448,1
43008,8448,1
43264,8448,1
43520,8448,1
38912,8704,1
39168,8704,1
39424,8704,1
39680,8704,1
39936,8704,1
40192,8704,1
40448,8704,1
40704,8704,1
40960,8704,1
41216,8704,1
41472,8704,1
41728,8704,1
41984,8704,1
42240,8704,1
42496,8704,1
42752,8704,1
43008,8704,1
43264,8704,1
43520,8704,1
43776,8704,1
44032,8704,1
50688,8704,1
50944,8704,1
51200,8704,1
51456,8704,1
51712,8704,1
37632,8960,1
37888,8960,1
38144,8960,1
38400,8960,1
38656,8960,1
38912,8960,1
39168,8960,1
39424,8960,1
39680,8960,1
39936,8960,1
40192,8960,1
40448,8960,1
40704,8960,1
40960,8960,1
41216,8960,1
41472,8960,1
41728,8960,1
41984,8960,1
42240,8960,1
42496,8960,1
42752,8960,1
43008,8960,1
43264,8960,1
43520,8960,1
43776,8960,1
44032,8960,1
44288,8960,1
44544,8960,1
44800,8960,1
47616,8960,1
47872,8960,1
50688,8960,1
50944,8960,1
51200,8960,1
51456,8960,1
51712,8960,1
51968,8960,1
36864,9216,1
37120,9216,1
37376,9216,1
37632,9216,1
37888,9216,1
38144,9216,1
38400,9216,1
38656,9216,1
38912,9216,1
39168,9216,1
39424,9216,1
39680,9216,1
39936,9216,1
40192,9216,1
40448,9216,1
40704,9216,1
40960,9216,1
41216,9216,1
41472,9216,1
